"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Unauthenticated user is redirected to login from admin UI @rbac @regression","chromium","2026-05-27","skipped","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","11136","login page has no critical a11y violations @a11y","chromium","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","12997","DELETE /pim/employees — delete employee removes from system @api @smoke","webkit","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","11428","POST /pim/employees — create employee returns 200 with empNumber @api @smoke","webkit","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","818","API returns 404 for non-existent employee @api @regression","chromium","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","3347","PUT /pim/employees/:id — update employee personal details @api @regression","chromium","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","23343","3. Update employee personal details @employee @regression","chromium","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","0","Admin user sees Admin module in navigation @rbac @regression","chromium","2026-05-27","skipped","2026-05-27","Role-Based Access Control","e2e/employee/employee-rbac.spec.ts","",""
"","0","should show validation for empty password @regression","webkit","2026-05-27","skipped","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","3741","API returns 404 for non-existent employee @api @regression","firefox","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","2676","API returns 401 when session cookie is absent @api @security","webkit","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","3157","GET /pim/employees/:id — retrieve created employee @api @smoke","chromium","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","18055","should show error with invalid password @smoke","firefox","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","4864","should redirect to login when accessing protected page unauthenticated @smoke","chromium","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","7242","POST /pim/employees — create employee returns 200 with empNumber @api @smoke","smoke","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","26434","1. Create employee with login credentials @employee @smoke","chromium","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","32080","should logout successfully @regression","webkit","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","33645","1. Create employee with login credentials @employee @smoke","firefox","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","7976","GET /pim/employees — search by name returns correct results @api @regression","firefox","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","10229","5. Delete employee @employee @smoke","smoke","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","26764","2. Verify employee appears in employee list @employee @smoke","firefox","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","3456","GET /pim/employees — search by name returns correct results @api @regression","chromium","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","11337","add employee form has no critical a11y violations @a11y","firefox","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","39260","3. Update employee personal details @employee @regression","webkit","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","2312","POST /pim/employees — create employee returns 200 with empNumber @api @smoke","api","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","9888","should login successfully with valid admin credentials @smoke","chromium","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
"","7580","GET /pim/employees/:id — retrieve created employee @api @smoke","firefox","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","2137","PUT /pim/employees/:id — update employee personal details @api @regression","api","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","4807","API returns 404 for non-existent employee @api @regression","webkit","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","8261","4. Verify updates persisted correctly @employee @regression","chromium","2026-05-27","passed","2026-05-27","Employee Lifecycle","e2e/employee/employee-lifecycle.spec.ts","",""
"","6230","POST /pim/employees — create employee returns 200 with empNumber @api @smoke","firefox","2026-05-27","passed","2026-05-27","Employee API","api/employee.api.spec.ts","",""
"","16115","login page has no critical a11y violations @a11y","firefox","2026-05-27","passed","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","0","dashboard has no critical a11y violations @a11y","webkit","2026-05-27","skipped","2026-05-27","Accessibility Audits","e2e/accessibility/a11y.spec.ts","",""
"","18246","should logout successfully @regression","chromium","2026-05-27","passed","2026-05-27","Authentication","e2e/auth/login.spec.ts","",""
